[15:02:44.787][C][gpio.binary_sensor:016]: GPIO Binary Sensor 'PIN 20'
[15:03:00.079][S][binary_sensor]: 'PIN 20' >> ON
[15:03:00.084][D][DESK:061]: 00
[15:03:00.270][D][DESK:061]: FE
[15:03:00.448][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.454][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.471][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:00.488][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.516][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.516][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.523][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.537][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.544][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.555][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:00.570][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.578][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.603][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.603][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.630][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:00.645][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.654][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.670][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.675][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.695][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:00.707][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.725][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.732][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.737][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.759][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.764][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.772][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:00.796][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.806][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.825][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.833][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.883][D][DESK:061]: 9B:07:12:07:EF:6D:A4:A8:9D
[15:03:00.883][D][DESK:061]: 9B:04:11:7C:C3:9D
[15:03:00.883][D][KEYPAD:046]: 9B:06:02:00:00:6C:A1:9D
[15:03:00.964][D][DESK:061]: 9B:04:11:7C:C3:9D
